Date,Open,High,Low,Close,Volume
02/01/2021,"316.56","322.00","212.00","225.00","37,382,152"
01/29/2021,"379.71","413.98","250.00","325.00","50,566,059"
01/28/2021,"265.00","483.00","112.25","193.60","58,815,809"
01/27/2021,"354.83","380.00","249.00","347.51","93,396,672"
01/26/2021,"88.56","150.00","80.20","147.98","178,588,000"
01/25/2021,"96.73","159.18","61.13","76.79","177,874,000"
01/22/2021,"42.59","76.76","42.32","65.01","197,157,906"
01/21/2021,"39.23","44.75","37.00","43.03","57,079,754"
01/20/2021,"37.37","41.19","36.06","39.12","33,471,789"
01/19/2021,"41.55","45.52","36.64","39.36","74,721,922"
01/15/2021,"38.49","40.75","34.01","35.50","46,866,359"
01/14/2021,"38.09","43.06","33.05","39.91","93,717,406"
01/13/2021,"20.42","38.65","20.03","31.40","144,501,703"
01/12/2021,"19.96","20.40","19.32","19.95","7,060,665"
01/11/2021,"19.41","20.65","19.01","19.94","14,927,610"
01/08/2021,"18.18","18.30","17.08","17.69","6,481,960"
01/07/2021,"18.47","19.45","18.02","18.08","6,129,276"
01/06/2021,"17.34","18.98","17.33","18.36","6,056,248"
01/05/2021,"17.35","18.08","17.23","17.37","4,961,457"
01/04/2021,"19.00","19.10","17.15","17.25","10,022,470"
12/31/2020,"19.25","19.80","18.80","18.84","6,922,652"
12/30/2020,"19.38","20.00","18.85","19.26","5,934,391"
12/29/2020,"20.82","21.07","18.56","19.38","9,241,441"
12/28/2020,"21.31","21.97","20.35","20.99","8,965,858"
12/24/2020,"21.01","21.48","19.95","20.15","6,262,174"
12/23/2020,"20.17","22.35","19.13","20.57","25,830,260"
12/22/2020,"16.22","20.04","16.15","19.46","30,687,721"
12/21/2020,"15.81","16.35","15.28","15.53","9,876,128"
12/18/2020,"15.78","16.30","15.18","15.63","16,618,779"
12/17/2020,"13.96","14.98","13.59","14.83","8,194,902"
12/16/2020,"13.96","14.31","13.58","13.85","5,865,123"
12/15/2020,"12.78","14.02","12.48","13.85","8,192,856"
12/14/2020,"13.34","13.43","12.14","12.72","10,007,090"
12/11/2020,"13.91","14.00","13.02","13.31","7,496,868"
12/10/2020,"13.12","14.41","13.05","14.12","7,558,922"
12/09/2020,"13.92","14.73","13.23","13.66","24,357,939"
12/08/2020,"16.37","17.21","15.93","16.94","16,120,160"
12/07/2020,"17.00","17.50","16.22","16.35","7,386,258"
12/04/2020,"16.30","17.29","16.26","16.90","8,972,672"
12/03/2020,"16.48","16.64","15.87","16.12","6,294,965"
12/02/2020,"15.70","16.68","15.38","16.58","7,883,380"
12/01/2020,"17.11","17.40","15.76","15.80","12,666,030"
11/30/2020,"18.17","19.42","16.56","16.56","31,983,500"
11/27/2020,"15.29","16.74","14.88","16.08","12,504,200"
11/25/2020,"13.60","15.25","13.42","14.75","8,860,092"
11/24/2020,"14.23","14.26","13.30","13.67","7,186,710"
11/23/2020,"12.90","14.12","12.67","13.90","9,607,973"
11/20/2020,"12.55","13.46","12.54","12.71","8,402,347"
11/19/2020,"11.60","12.79","11.45","12.46","11,787,610"
11/18/2020,"11.80","12.04","11.56","11.57","3,169,222"
11/17/2020,"11.65","11.92","11.23","11.63","6,678,176"
11/16/2020,"11.16","12.66","10.72","12.06","9,774,824"
11/13/2020,"11.36","11.55","11.00","11.01","3,546,171"
11/12/2020,"11.74","11.87","10.97","11.13","4,355,892"
11/11/2020,"11.50","11.95","11.21","11.75","4,882,569"
11/10/2020,"11.50","11.66","10.83","11.10","3,825,963"
11/09/2020,"12.76","12.93","11.25","11.49","6,244,865"
11/06/2020,"11.52","12.17","11.32","11.86","5,518,243"
11/05/2020,"11.27","11.84","11.06","11.45","4,705,245"
11/04/2020,"11.76","11.77","10.61","10.91","5,807,871"
